"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_ORC.cladeReads"	"C001_FD2_TZO.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_ORC.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.82_ORC.cladeReads"	"C002_R.82_TZO.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_ORC.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_ORC.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.82_ORC.cladeReads"	"C004_R.82_TZO.cladeReads"	"lineage"
"Streptococcus sp. NPS 308"	"S"	1902136	3594	874	7	1383	85	469	100	224	NA	1330	52	769	3	1589	122	293	24	464	11	953	1	347	6	273	93	1465	39	873	3166	606	23	677	8	1044	45	1917	6	678	22	426	NA	911	30	3359	3594	NA	557	51	2498	169	1438	50	2951	69	1666	NA	963	5	486	1	1338	47	1542	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL K6-1323"	"S"	2954513	705	705	NA	49	48	393	28	98	NA	78	NA	415	NA	177	7	318	5	7	NA	11	NA	86	7	9	37	1	10	238	NA	117	NA	380	175	9	NA	19	NA	16	NA	64	NA	8	9	NA	15	NA	124	10	20	NA	10	13	25	NA	8	33	3	NA	NA	NA	4	NA	14	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 064"	"S"	712624	3601	559	4	930	20	210	9	185	NA	1935	19	133	NA	372	29	206	NA	421	1	609	65	346	NA	196	403	383	128	2222	144	978	21	617	23	261	NA	343	NA	136	NA	85	29	402	NA	187	3601	1	344	20	1019	NA	692	20	1541	76	612	35	1120	NA	307	NA	2575	25	418	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 1643"	"S"	2576376	1783	536	NA	367	NA	107	20	69	NA	744	NA	172	16	570	24	68	NA	127	NA	310	256	117	NA	64	51	188	NA	463	186	361	4	333	NA	641	NA	589	NA	630	NA	161	NA	1783	NA	169	447	NA	296	NA	1210	NA	671	9	1744	NA	1102	43	444	NA	310	NA	1216	9	323	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29896"	"S"	3028082	1133	431	5	505	63	206	13	139	NA	663	1	187	NA	190	16	56	NA	92	NA	259	102	1133	NA	166	476	11	1	170	22	12	NA	90	38	17	NA	12	NA	24	NA	32	NA	320	NA	99	150	NA	1026	NA	343	93	98	76	92	19	145	16	27	1	22	3	315	347	39	17	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. HN38"	"S"	3020829	847	313	NA	388	34	168	NA	46	NA	461	NA	135	NA	292	16	142	8	370	NA	422	NA	401	NA	73	3	248	NA	415	22	264	NA	847	9	282	NA	320	NA	72	NA	99	NA	97	16	108	185	NA	128	1	485	NA	321	NA	733	7	696	NA	177	NA	100	NA	414	15	815	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. zg-86"	"S"	2664091	757	167	NA	757	10	37	12	9	NA	40	NA	117	NA	218	5	7	NA	8	NA	10	1	19	NA	8	9	32	1	23	21	3	NA	22	NA	74	NA	24	NA	12	NA	45	NA	19	NA	21	18	NA	22	NA	52	1	31	1	57	1	65	NA	29	NA	3	NA	36	1	34	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_192"	"S"	1839799	971	135	NA	14	NA	971	48	42	NA	97	5	32	NA	59	4	119	NA	14	NA	2	NA	147	NA	14	11	8	NA	44	1	37	NA	22	NA	17	NA	15	NA	21	NA	101	NA	13	23	18	19	NA	37	NA	55	242	45	1	79	NA	98	2	19	1	24	13	31	NA	13	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL R7-0248"	"S"	2975324	77825	123	8	60	44	229	3	14	6	49	13	118	NA	53	6	70	NA	22588	167	29325	428	77825	NA	5411	2377	19	30	24917	28	6042	62	5608	278	17	10	20	NA	7	NA	213	NA	19	NA	81	82	NA	181	3	10003	477	10223	2899	38577	2418	8660	449	5142	579	1398	448	9419	1527	12351	56	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A"	"S"	3077723	1245	122	2	95	NA	254	148	180	3	468	14	1245	NA	49	19	519	NA	105	NA	45	1	8	NA	11	50	71	NA	207	162	485	7	140	37	37	NA	52	NA	43	NA	86	93	35	NA	213	771	3	369	10	633	337	152	NA	820	NA	404	18	208	NA	142	NA	676	2	157	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL W7-1342"	"S"	2954545	568	71	NA	54	NA	526	4	62	NA	75	11	568	NA	71	5	180	NA	16	NA	2	NA	27	NA	3	1	1	NA	46	NA	13	NA	37	NA	12	NA	3	NA	NA	NA	68	NA	1	NA	75	10	NA	23	NA	22	NA	19	NA	15	20	13	NA	5	NA	1	NA	7	NA	11	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_521"	"S"	2420309	124	60	NA	24	2	56	1	15	NA	62	NA	78	NA	69	6	13	NA	36	NA	33	NA	66	NA	30	11	80	1	41	2	14	NA	20	NA	49	NA	54	8	75	NA	9	NA	58	NA	74	32	NA	77	1	39	1	87	10	124	2	39	NA	51	2	8	2	85	5	41	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. KS 6"	"S"	2598457	125	35	1	35	7	50	1	23	NA	108	NA	79	NA	42	3	56	NA	4	NA	8	NA	24	NA	11	3	47	NA	32	52	15	NA	81	NA	28	NA	15	NA	5	1	9	NA	18	NA	35	61	NA	34	NA	81	NA	18	NA	125	37	25	31	29	NA	4	NA	31	4	75	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29887"	"S"	3028084	249	32	NA	74	64	7	NA	NA	NA	12	NA	249	4	19	NA	17	8	12	NA	6	NA	11	NA	8	46	29	NA	19	16	18	NA	6	NA	8	NA	NA	NA	NA	NA	NA	NA	10	NA	1	30	NA	1	3	12	NA	3	1	20	NA	5	NA	16	NA	4	NA	53	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 'group B'"	"S"	1319	52	14	1	52	1	11	1	4	NA	22	NA	12	NA	46	4	5	NA	7	NA	4	NA	27	NA	10	5	39	NA	6	1	5	NA	17	NA	17	NA	8	NA	5	NA	12	NA	23	NA	5	13	NA	17	NA	14	2	26	NA	37	2	5	1	22	NA	4	1	42	1	38	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DAT741"	"S"	1940319	32	12	NA	30	5	29	NA	2	NA	19	NA	32	NA	31	3	5	NA	4	NA	9	NA	NA	NA	1	1	1	NA	20	NA	NA	NA	5	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	NA	1	NA	1	NA	2	NA	4	NA	3	NA	NA	NA	4	NA	NA	NA	25	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NCTC 11567"	"S"	2583584	58	7	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29892"	"S"	3028083	55	5	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	10	16	3	NA	9	NA	3	NA	6	NA	NA	NA	5	NA	1	20	20	NA	3	NA	3	NA	2	NA	NA	NA	35	NA	2	NA	NA	4	NA	NA	NA	23	NA	2	NA	12	NA	54	NA	26	55	12	NA	30	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NSJ-72"	"S"	2763068	80	4	NA	NA	NA	NA	NA	NA	NA	17	NA	34	NA	4	NA	NA	NA	17	NA	80	NA	8	NA	5	NA	1	NA	32	13	26	NA	15	1	9	NA	1	NA	NA	NA	NA	NA	1	NA	NA	44	NA	10	NA	6	NA	1	NA	19	NA	2	NA	4	NA	NA	NA	3	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus mitis"	"S"	28037	579780	256279	4778	489589	15807	102343	8311	29442	1305	541048	9456	69244	2700	255137	14623	31075	1312	154092	1580	180714	6178	99059	376	244953	6463	579776	2724	98455	5387	77500	484	103856	1608	234916	1042	217636	386	168060	1507	134488	866	234702	904	53367	108081	295	81355	1700	355892	6478	310207	6278	378977	11587	238004	2095	144472	2920	81154	837	384760	23581	178040	643	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pneumoniae"	"S"	1313	408370	83347	913	198565	3998	45841	2709	10841	144	127008	1184	33908	357	240373	7950	24259	427	68504	400	34476	1858	47881	139	161317	4010	328311	1102	28465	2903	26150	169	55014	448	66287	308	61144	37	41229	398	27368	290	58382	251	15602	39073	57	25087	450	169050	3033	124428	6534	408369	10282	106862	2714	76102	1820	22922	980	126445	20085	114345	424	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus gordonii"	"S"	1302	329340	55889	186	37683	1761	14719	825	34242	159	183609	143	191781	220	43884	669	107371	311	2727	192	4606	2099	2336	351	1876	5735	8680	722	28078	1615	8663	171	8394	1018	2405	36	2338	10	2264	189	1640	71	2393	177	3502	2703	3	3549	153	13147	3179	17068	2819	10700	615	5637	1318	1829	379	329340	176	294600	709	9711	377	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parasanguinis"	"S"	1318	79565	27784	46	4041	1179	79565	683	20471	109	15365	288	44984	86	19001	655	15504	600	556	167	473	417	3478	223	604	1103	511	67	1487	59	1899	161	2717	1171	663	32	674	8	1392	380	9932	168	618	261	3806	5528	4	45085	219	688	524	478	338	1824	251	3638	226	558	359	197	28	385	177	534	53	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pseudopneumoniae"	"S"	257758	130210	26285	69	43063	514	4533	235	1433	18	22957	48	5792	22	130207	1238	3838	38	3091	22	5068	155	2666	1	2694	89	5374	1	3187	108	1351	1	9692	22	10154	19	10676	2	6270	258	1711	56	9668	56	1344	9262	4	3985	41	14825	396	6945	229	21189	607	9318	84	6726	84	1879	50	5733	309	11278	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oralis"	"S"	1303	341200	24216	347	42755	1816	12228	1663	7646	167	56079	520	15005	262	56598	2460	7869	388	113312	1143	193126	3993	341202	356	27908	16204	22657	834	189860	42804	62721	326	52058	1682	39409	235	31086	41	30782	1094	10723	429	26975	452	14003	31555	21	21968	405	69717	2994	53572	3240	100366	1181	47009	1444	33615	2030	21724	358	78743	1511	33091	206	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus infantis"	"S"	68892	33458	16764	231	14530	1492	16428	673	3071	52	13591	196	10606	119	19242	1379	2505	81	4734	103	4397	728	10719	53	5334	1121	11826	169	5544	932	3733	75	5331	919	9663	89	9214	18	10404	157	20391	112	9890	108	20154	17866	27	33458	363	8456	406	13372	1120	16736	696	9046	367	6096	591	3069	184	14682	1014	5097	62	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sanguinis"	"S"	1305	195570	13444	1006	27614	3523	26171	2681	36574	134	42424	1360	195573	417	8102	4136	56752	1131	9363	675	3555	1985	1884	207	2979	13983	7949	1976	21195	6280	46574	712	10102	1138	9293	188	1835	19	5197	518	11575	497	2406	532	22499	56224	37	51489	511	24400	2678	10687	2698	13202	1325	7597	551	18979	2865	9579	199	89533	762	18810	217	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus salivarius"	"S"	1304	20079	13071	67	2651	207	20079	826	2480	93	5650	264	8847	112	5076	249	4855	184	1625	230	808	727	5174	117	1597	2393	1978	509	2959	160	3104	161	3236	952	2690	133	2807	8	3279	585	13231	122	16954	209	3166	8691	4	10449	269	4451	1653	4176	507	7017	384	4314	619	1230	265	1392	83	2693	170	2829	183	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
