"name"	"taxRank"	"taxID"	"Max"	"C001_FD2.cladeReads"	"C001_FD3.cladeReads"	"C001_L.3.cladeReads"	"C001_L.44.cladeReads"	"C001_L.92.cladeReads"	"C001_R.1.cladeReads"	"C001_R.45.cladeReads"	"C001_R.82.cladeReads"	"C002_FD2.cladeReads"	"C002_FD3.cladeReads"	"C002_L.3.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2.cladeReads"	"C003_FD3.cladeReads"	"C003_L.3.cladeReads"	"C003_L.44.cladeReads"	"C003_L.92.cladeReads"	"C003_R.45.cladeReads"	"C003_R.82.cladeReads"	"C004_FD2.cladeReads"	"C004_FD3.cladeReads"	"C004_L.3.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82.cladeReads"	"lineage"
"Cutibacterium acnes"	"S"	1747	21147000	6504111	9121194	11531448	10687017	15514065	10730864	9515620	15716530	11732044	9517829	30495	6306019	8659247	1667195	16590349	11671471	16186784	19738027	185604	11174763	21147217	19076755	19880581	3802446	7282902	6528062	7357153	2205510	10223471	11528580	14582218	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Cutibacterium acnes KPA171202"	"-"	267747	4826	1199	1436	1804	1929	3139	1604	2211	2151	2406	1329	1	1458	1842	339	3068	1597	2448	4826	20	1860	3870	4225	1972	460	914	904	1831	334	1495	2861	1316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;acnes"
"Cutibacterium acnes subsp. defendens"	"-"	1905725	1279	242	234	315	292	402	371	253	328	115	254	NA	119	243	26	189	251	851	1064	245	770	1279	685	930	854	179	142	238	155	236	292	580	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;acnes"
"Cutibacterium acnes subsp. acnes"	"-"	1734925	11701	79	147	7240	298	665	201	67	303	1711	2439	227	1718	4051	811	1124	1381	2773	2269	2016	1046	3966	1423	2478	11701	327	408	1251	2464	251	208	414	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;acnes"
"Cutibacterium acnes TypeIA2 P.acn17"	"-"	1114967	7038	37	50	3849	170	311	84	27	166	66	674	80	356	111	146	79	35	2002	1690	811	263	2035	1039	1888	7038	130	308	443	1553	138	20	30	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;acnes>Cutibacterium&nbsp;acnes&nbsp;subsp.&nbsp;acnes"
"Cutibacterium acnes TypeIA2 P.acn31"	"-"	1114969	32	3	2	21	5	3	13	NA	3	5	7	NA	3	32	1	5	1	10	5	1	5	21	10	3	6	1	NA	9	NA	NA	1	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;acnes>Cutibacterium&nbsp;acnes&nbsp;subsp.&nbsp;acnes"
"Cutibacterium acnes HL096PA1"	"-"	1134454	94	10	17	24	8	54	37	11	15	4	1	NA	17	NA	NA	13	25	45	20	NA	22	23	23	19	91	3	2	51	28	14	24	94	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;acnes"
"Cutibacterium acnes hdn-1"	"-"	1276648	187	7	1	42	13	6	27	3	11	NA	1	NA	12	31	NA	NA	14	62	79	NA	57	187	85	108	13	20	NA	NA	1	NA	5	24	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;acnes"
"Cutibacterium acnes C1"	"-"	1234380	28	6	NA	23	24	3	2	6	10	4	7	NA	17	3	1	6	8	28	21	NA	3	25	13	12	9	3	3	1	NA	3	5	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;acnes"
"Cutibacterium granulosum"	"S"	33011	4932900	1878908	886742	1551449	688493	405657	670154	626832	936252	20690	15568	311	3939	3722	1468	1199	606	94287	14248	4308	74333	15264	21830	210833	1018467	2219959	1805392	2930321	4932858	2363772	2718430	2613936	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Cutibacterium avidum"	"S"	33010	46163	2164	2882	2271	1941	1704	2314	4636	1092	1167	935	88	415	567	160	726	447	2898	1053	406	2373	1209	1212	1562	12236	46163	44307	34999	40283	17470	30690	34621	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Cutibacterium avidum 44067"	"-"	1170318	388	12	21	25	24	4	1	8	22	2	3	36	1	32	NA	8	20	13	20	NA	NA	8	12	37	1	87	141	161	388	37	88	209	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium>Cutibacterium&nbsp;avidum"
"Cutibacterium modestum"	"S"	2559073	68847	1543	6659	2707	2250	2752	2254	1930	2945	2963	2410	133	2397	1852	475	2952	2122	68847	4344	1181	36226	5353	8330	33582	1247	1871	946	1479	969	1158	1441	1830	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Cutibacterium equinum"	"S"	3016342	1203	285	459	555	456	632	470	425	305	435	409	2	212	391	104	487	222	1203	939	1	1019	859	845	761	96	322	358	467	121	478	495	294	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Auraticoccus><wbr>Auraticoccus monumenti"	"S"	675864	913	406	644	538	556	753	543	445	353	602	358	82	308	458	100	439	256	913	861	166	507	814	736	499	333	478	566	704	550	631	842	498	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Auraticoccus"
"Microlunatus"	"G"	29404	13976	336	550	803	434	721	392	641	765	686	581	463	618	555	105	665	3291	827	660	2482	890	785	729	1691	13976	540	846	1307	927	1436	1315	3818	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae"
"Microlunatus soli"	"S"	630515	491	226	357	340	244	383	262	278	253	393	177	NA	160	183	47	227	109	491	471	83	257	472	404	228	213	337	219	404	244	387	464	176	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Microlunatus"
"Microlunatus sagamiharensis"	"S"	546874	3877	24	106	165	68	36	26	202	267	60	95	140	144	194	11	216	1903	95	20	1917	280	72	82	778	3877	113	356	394	376	824	489	1026	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Microlunatus"
"Microlunatus phosphovorus><wbr>Microlunatus phosphovorus NM-1"	"-"	1032480	2269	12	NA	86	16	37	34	43	51	41	88	116	110	11	36	100	529	15	8	172	118	56	48	179	2269	44	145	209	91	104	107	1262	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Microlunatus>Microlunatus&nbsp;phosphovorus"
"Tessaracoccus"	"G"	72763	5841	242	424	818	200	305	140	189	355	1039	1618	922	960	623	305	382	1593	450	326	251	811	499	205	459	707	446	3496	5841	565	645	390	2302	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae"
"unclassified Tessaracoccus><wbr>Tessaracoccus sp. MC1865"	"S"	2760310	204	67	67	102	31	48	31	37	44	57	7	67	27	27	5	24	84	113	79	7	46	89	29	38	2	67	125	37	44	100	28	204	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus>unclassified&nbsp;Tessaracoccus"
"Tessaracoccus flavescens"	"S"	399497	1044	31	106	104	46	101	13	30	46	839	1044	25	594	326	245	78	165	38	45	NA	4	70	17	37	2	37	105	76	32	49	28	530	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Tessaracoccus defluvii"	"S"	1285901	71	28	25	71	16	32	13	19	25	49	39	64	8	31	1	12	35	12	50	1	50	33	39	34	5	44	25	28	5	40	42	58	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Tessaracoccus timonensis"	"S"	2161816	4774	11	38	21	28	NA	1	5	15	NA	135	180	102	4	4	NA	96	12	1	1	12	25	4	26	268	65	2595	4774	154	188	24	81	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Tessaracoccus flavus"	"S"	1610493	148	9	NA	41	NA	3	NA	1	NA	14	148	81	26	18	9	8	40	NA	NA	NA	NA	15	NA	17	1	NA	NA	50	NA	19	7	59	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Arachnia"	"G"	2801844	240590	197	1258	3341	196	496	156	700	321	1706	9489	419	240590	1414	31771	1797	7286	245	182	3	581	423	259	784	3373	1368	209	2514	2567	218	449	517	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae"
"Arachnia propionica"	"S"	1750	90188	137	950	2986	141	424	125	603	264	1071	3635	201	90188	703	30987	364	3445	167	136	2	464	229	173	260	3206	1192	166	2083	2470	93	331	454	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Arachnia"
"Arachnia rubra"	"S"	1547448	133580	15	93	81	10	19	14	18	9	533	5464	182	133584	656	53	1251	3340	22	3	NA	50	148	26	402	131	36	2	251	12	31	13	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Arachnia"
"Propionibacterium"	"G"	1743	18594	167	315	246	109	145	165	83	184	231	850	333	18594	332	21	428	423	97	64	112	101	38	52	94	61	228	273	344	264	171	162	224	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae"
"Propionibacterium freudenreichii"	"S"	1744	221	107	103	99	61	79	112	38	48	79	7	221	41	88	1	7	38	36	16	112	39	3	5	27	33	154	110	132	98	92	85	57	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propionibacterium"
"Propionibacterium acidifaciens"	"S"	556499	18115	12	130	63	5	26	18	9	34	133	806	106	18115	168	12	387	228	NA	3	NA	1	1	6	3	3	8	2	99	28	4	7	13	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propionibacterium"
"Propionibacterium australiense"	"S"	119981	184	1	3	4	1	NA	1	NA	40	NA	NA	NA	184	64	NA	1	109	NA	NA	NA	NA	NA	3	14	NA	NA	42	1	1	NA	4	78	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propionibacterium"
"Acidipropionibacterium"	"G"	1912215	392	131	213	237	147	213	115	132	146	205	246	50	99	73	14	166	195	187	208	NA	196	172	180	249	201	189	143	186	223	136	188	392	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae"
"Acidipropionibacterium acidipropionici"	"S"	1748	175	39	66	98	16	32	18	23	20	63	175	50	17	NA	NA	NA	38	16	3	NA	1	6	1	14	85	85	45	90	44	26	43	155	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium"
"Acidipropionibacterium acidipropionici ATCC 4875"	"-"	1171373	16	2	16	11	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium>Acidipropionibacterium&nbsp;acidipropionici"
"Acidipropionibacterium virtanenii"	"S"	2057246	85	26	48	26	43	47	22	25	41	32	17	NA	22	16	2	59	50	27	42	NA	31	45	49	80	85	41	19	27	12	20	35	71	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium"
"Acidipropionibacterium jensenii"	"S"	1749	109	23	79	72	49	76	52	55	58	74	39	NA	28	35	10	72	67	109	89	NA	89	72	78	106	13	33	30	30	40	52	56	99	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium"
"Vaginimicrobium><wbr>Vaginimicrobium propionicum"	"S"	1871034	210	74	160	123	81	60	53	200	107	71	124	76	40	20	9	166	72	119	95	1	210	95	88	168	93	63	27	91	142	91	34	74	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Vaginimicrobium"
"Brooklawnia><wbr>Brooklawnia propionicigenes"	"S"	3041175	115	3	NA	9	1	1	NA	NA	2	NA	2	4	21	1	8	2	33	NA	1	11	1	NA	NA	12	115	3	1	24	54	1	4	22	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Brooklawnia"
"Raineyella"	"G"	1911549	285	3	1	21	NA	20	16	10	19	5	8	78	14	32	22	1	166	10	2	NA	116	36	6	51	70	31	25	22	7	10	32	285	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae"
"unclassified Raineyella"	"-"	2662260	50	3	NA	9	NA	NA	11	4	NA	1	NA	29	4	NA	5	NA	29	NA	NA	NA	50	22	1	11	NA	29	2	20	2	9	7	24	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Raineyella"
"Raineyella sp. W15-4"	"S"	3081651	22	3	NA	9	NA	NA	11	4	NA	NA	NA	1	4	NA	3	NA	13	NA	NA	NA	NA	22	1	11	NA	1	2	NA	2	9	NA	17	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Raineyella>unclassified&nbsp;Raineyella"
"Propioniciclava"	"G"	1085622	1121	2	23	405	40	53	41	12	43	40	544	181	949	7	27	108	742	59	5	97	138	151	1	110	403	30	138	362	208	33	37	1121	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae"
"unclassified Propioniciclava><wbr>Propioniciclava sp. MC1595"	"S"	2760308	254	2	NA	87	NA	15	11	3	NA	NA	74	38	50	2	NA	25	254	42	NA	4	NA	31	NA	49	71	12	68	46	49	8	4	251	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propioniciclava>unclassified&nbsp;Propioniciclava"
"Nocardioidaceae"	"F"	85015	75670	3382	14478	9944	6599	6865	11256	4018	6139	23591	39461	16623	9868	15117	6299	15623	6984	10740	2277	66051	48238	8064	3133	7088	75670	12255	17894	14139	20983	16103	5718	5906	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales"
"Nocardioides"	"G"	1839	66468	2872	12871	8050	5468	5968	10057	3376	4975	21200	35625	14352	8059	13096	4729	13646	4594	9147	1632	59229	43013	6721	2302	5585	66468	10760	15627	12395	17504	13671	4530	3624	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae"
"unclassified Nocardioides"	"-"	2615069	22427	1060	4345	2438	1653	1931	3691	1258	1558	6529	10548	4695	1847	3745	1278	3975	1051	3003	405	19148	14295	2055	457	1642	22427	4286	6847	4452	5928	4557	1567	1010	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides sp. LMS-CY"	"S"	2840457	9478	314	1851	411	553	599	1455	234	567	3093	5520	1839	610	1929	395	1765	376	1293	184	8223	5540	789	169	483	9478	1622	1867	1242	2353	949	260	150	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. Arc9.136"	"S"	2996826	2856	298	580	559	284	499	999	649	353	63	168	77	19	57	NA	NA	5	398	12	93	77	31	3	49	1873	1060	2856	1199	599	738	577	321	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. JS614"	"S"	196162	782	29	104	65	56	70	80	18	50	207	276	133	50	85	31	176	9	115	18	627	650	97	14	17	782	226	163	84	178	77	15	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. B-3"	"S"	2895565	104	29	79	54	10	29	8	9	26	37	2	104	25	1	14	1	6	8	1	53	58	2	1	2	NA	10	6	100	NA	2	19	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. S-1144"	"S"	2582905	771	24	14	96	NA	43	71	17	11	NA	2	10	39	44	26	NA	6	87	NA	65	73	50	18	77	245	19	62	75	49	771	32	33	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. zg-1228"	"S"	2763008	966	17	40	97	75	32	1	15	17	113	168	32	31	26	14	13	25	NA	NA	314	966	48	5	42	101	28	1	55	92	83	25	23	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. S-34"	"S"	3095075	801	16	114	60	84	5	42	15	49	234	196	173	51	61	43	121	64	50	9	801	669	140	18	128	131	117	54	114	NA	152	67	64	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. S5"	"S"	2017486	658	15	64	259	23	42	76	16	23	190	18	176	42	159	55	70	55	42	17	658	368	38	10	106	399	121	71	119	186	270	37	59	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. TF02-7"	"S"	2917724	381	14	52	NA	8	18	25	6	12	2	184	32	20	26	36	55	9	35	3	381	80	26	7	3	328	52	119	34	55	15	5	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. cx-173"	"S"	2898796	142	11	NA	17	9	NA	NA	6	29	18	142	63	26	NA	9	20	10	10	NA	93	NA	10	4	17	60	NA	29	18	42	111	13	14	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. NBC_00368"	"S"	2976000	490	11	14	38	11	2	NA	11	46	25	70	103	43	NA	37	9	32	NA	5	131	490	19	8	51	182	34	17	51	48	131	33	41	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. dk884"	"S"	2662361	44	7	NA	1	NA	NA	11	NA	3	NA	NA	12	1	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	32	NA	44	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. HDW12B"	"S"	2714939	224	7	10	96	13	7	NA	10	29	NA	99	40	121	NA	55	59	124	NA	2	224	99	20	5	69	NA	1	45	95	104	NA	29	18	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
