"","species","genus","family","order","class","phylum","superkingdom","no rank"
"15","Vitreoscilla stercoraria","Vitreoscilla","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"16","Vitreoscilla filiformis","Vitreoscilla","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"17","Lysobacter enzymogenes","Lysobacter","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"18","Simonsiella muelleri","Simonsiella","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"19","Hyphomonas sp.","unclassified Hyphomonas","Hyphomonas","Hyphomonadaceae","Hyphomonadales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"20","Stella humosa","Stella","Stellaceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"21","Gemmata obscuriglobus","Gemmata","Gemmataceae","Gemmatales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"22","Rubinisphaera brasiliensis","Rubinisphaera","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"23","Planctopirus limnophila","Planctopirus","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"24","Gimesia maris","Gimesia","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"25","Pirellula staleyi","Pirellula","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"26","Isosphaera pallida","Isosphaera","Isosphaeraceae","Isosphaerales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"27","Methylocystis parvus","Methylocystis","Methylocystaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"28","Borreliella burgdorferi","Borreliella","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"29","Borrelia hermsii","Borrelia","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"30","Borrelia parkeri","Borrelia","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"31","Borrelia turicatae","Borrelia","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"32","Borrelia anserina","Borrelia","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"33","Borrelia coriaceae","Borrelia","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"34","Spirochaeta thermophila","Spirochaeta","Spirochaetaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"35","Treponema denticola","Treponema","Treponemataceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"36","Brachyspira hyodysenteriae","Brachyspira","Brachyspiraceae","Brachyspirales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"37","Treponema pallidum","Treponema","Treponemataceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"38","Treponema phagedenis","Treponema","Treponemataceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"39","Treponema bryantii","Treponema","Treponemataceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"40","Treponema saccharophilum","Treponema","Treponemataceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"41","Treponema succinifaciens","Treponema","Treponemataceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"42","Leptospira biflexa","Leptospira","Leptospiraceae","Leptospirales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"43","Leptospira interrogans","Leptospira","Leptospiraceae","Leptospirales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"44","Leptospira borgpetersenii","Leptospira","Leptospiraceae","Leptospirales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"45","Leptospirillum ferrooxidans","Leptospirillum","Nitrospiraceae","Nitrospirales","Nitrospiria","Nitrospirota","Bacteria","cellular organisms"
"46","Azospirillum brasilense","Azospirillum","Azospirillaceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"47","Azospirillum lipoferum","Azospirillum","Azospirillaceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"48","Campylobacter coli","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"49","Campylobacter fetus","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"50","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"51","Campylobacter hyointestinalis","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"52","Campylobacter concisus","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"53","Campylobacter curvus","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"54","Campylobacter lari","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"55","Campylobacter mucosalis","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"56","Campylobacter rectus","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"57","Campylobacter showae","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"58","Campylobacter sputorum","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"59","Helicobacter pylori","Helicobacter","Helicobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"60","Helicobacter acinonychis","Helicobacter","Helicobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"61","Helicobacter cinaedi","Helicobacter","Helicobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"62","Helicobacter felis","Helicobacter","Helicobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"63","Helicobacter mustelae","Helicobacter","Helicobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"64","Pseudoalteromonas carrageenovora","Pseudoalteromonas","Pseudoalteromonadaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"65","Brucella abortus","Brucella","Brucella/Ochrobactrum group","Brucellaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"66","Brucella ovis","Brucella","Brucella/Ochrobactrum group","Brucellaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"67","Flavobacterium sp.","unclassified Flavobacterium","Flavobacterium","Flavobacteriaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria"
"68","Chryseobacterium balustinum","Chryseobacterium","Chryseobacterium group","Weeksellaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria"
"69","Chryseobacterium gleum","Chryseobacterium","Chryseobacterium group","Weeksellaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria"
"70","Chryseobacterium indologenes","Chryseobacterium","Chryseobacterium group","Weeksellaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria"
"71","Chryseobacterium indoltheticum","Chryseobacterium","Chryseobacterium group","Weeksellaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria"
"72","Francisella tularensis","Francisella","Francisellaceae","Thiotrichales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"73","Paracoccus denitrificans","Paracoccus","Paracoccaceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"74","Paracoccus sp. (in: a-proteobacteria)","unclassified Paracoccus (in: a-proteobacteria)","Paracoccus","Paracoccaceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"75","Thermus aquaticus","Thermus","Thermaceae","Thermales","Deinococci","Deinococcota","Bacteria","cellular organisms"
"76","Thermus thermophilus","Thermus","Thermaceae","Thermales","Deinococci","Deinococcota","Bacteria","cellular organisms"
"77","Meiothermus ruber","Meiothermus","Thermaceae","Thermales","Deinococci","Deinococcota","Bacteria","cellular organisms"
"78","Xanthobacter autotrophicus","Xanthobacter","Xanthobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"79","Xanthobacter flavus","Xanthobacter","Xanthobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"80","Comamonas testosteroni","Comamonas","Comamonadaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"81","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"82","Pseudoalteromonas atlantica","Pseudoalteromonas","Pseudoalteromonadaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"83","[Pseudomonas] carboxydohydrogena","Afipia","Nitrobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"84","Burkholderia cepacia","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"85","Brevundimonas diminuta","Brevundimonas","Caulobacteraceae","Caulobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"86","Pseudomonas fluorescens","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"87","Pseudomonas fragi","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"88","Hydrogenophilus thermoluteolus","Hydrogenophilus","Hydrogenophilaceae","Hydrogenophilales","Hydrogenophilia","Pseudomonadota","Bacteria","cellular organisms"
"89","Pseudomonas marginalis","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"90","Pseudomonas mendocina","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"91","Pseudomonas putida","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"92","Ralstonia solanacearum","Ralstonia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"93","Pseudomonas sp.","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"94","Ralstonia pickettii","Ralstonia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"95","Burkholderia glumae","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"96","Xanthomonas campestris","Xanthomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"97","Xanthomonas translucens","Xanthomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"98","Xanthomonas citri","Xanthomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"99","Xanthomonas oryzae","Xanthomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"100","Azotobacter chroococcum","Azotobacter","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"101","Azotobacter vinelandii","Azotobacter","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"102","Rhizobium rhizogenes","Rhizobium","Rhizobium/Agrobacterium group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"103","Agrobacterium vitis","Agrobacterium","Rhizobium/Agrobacterium group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"104","Bradyrhizobium japonicum","Bradyrhizobium","Nitrobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"105","Bradyrhizobium sp.","unclassified Bradyrhizobium","Bradyrhizobium","Nitrobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"106","Mesorhizobium loti","Mesorhizobium","Phyllobacteriaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"107","Sinorhizobium meliloti","Sinorhizobium","Sinorhizobium/Ensifer group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"108","Rhizobium leguminosarum","Rhizobium","Rhizobium/Agrobacterium group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"109","Rhizobium phaseoli","Rhizobium","Rhizobium/Agrobacterium group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"110","Rhizobium tropici","Rhizobium","Rhizobium/Agrobacterium group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"111","Neorhizobium galegae","Neorhizobium","Rhizobium/Agrobacterium group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"112","Methylobacillus flagellatus","Methylobacillus","Methylophilaceae","Nitrosomonadales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"113","Methylorubrum extorquens","Methylorubrum","Methylobacteriaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"114","Methylobacterium sp.","unclassified Methylobacterium","Methylobacterium","Methylobacteriaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"115","Methylobacterium organophilum","Methylobacterium","Methylobacteriaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"116","Methylococcus capsulatus","Methylococcus","Methylococcaceae","Methylococcales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"117","Methylomonas methanica","Methylomonas","Methylococcaceae","Methylococcales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"118","Methylosinus trichosporium","Methylosinus","Methylocystaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"119","Acetobacter aceti","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"120","Novacetimonas hansenii","Novacetimonas","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"121","Acetobacter pasteurianus","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"122","Gluconobacter oxydans","Gluconobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"123","Legionella pneumophila","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"124","Legionella hackeliae","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"125","Legionella longbeachae","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"126","Legionella micdadei","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"127","Legionella spiritensis","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"128","Legionella israelensis","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"129","Legionella jordanis","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"130","Fluoribacter dumoffii","Fluoribacter","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"131","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"132","Acinetobacter calcoaceticus","Acinetobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"133","Acinetobacter sp.","unclassified Acinetobacter","Acinetobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"134","Moraxella bovis","Moraxella","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"135","Moraxella nonliquefaciens","Moraxella","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"136","Moraxella catarrhalis","Moraxella","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"137","Neisseria cinerea","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"138","Neisseria flavescens","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"139","Neisseria gonorrhoeae","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"140","Neisseria lactamica","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"141","Neisseria meningitidis","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"142","Neisseria mucosa","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"143","Neisseria sicca","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"144","Neisseria animalis","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"145","Neisseria canis","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"146","Neisseria elongata","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"147","Neisseria macacae","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"148","Thermomicrobium roseum","Thermomicrobium","Thermomicrobiaceae","Thermomicrobiales","Thermomicrobia","Thermomicrobiota","Bacteria","cellular organisms"
"149","Kingella denitrificans","Kingella","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"150","Kingella kingae","Kingella","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"151","Kingella oralis","Kingella","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"152","Alcaligenes faecalis","Alcaligenes","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"153","Bordetella bronchiseptica","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"154","Bordetella parapertussis","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"155","Bordetella pertussis","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"156","Bordetella avium","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"157","Acidiphilium cryptum","Acidiphilium","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"158","Brucella anthropi","Brucella","Brucella/Ochrobactrum group","Brucellaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"159","Beijerinckia indica","Beijerinckia","Beijerinckiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"160","Chromobacterium violaceum","Chromobacterium","Chromobacteriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"161","Iodobacter fluviatilis","Iodobacter","Chitinibacteraceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"162","Eikenella corrodens","Eikenella","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"163","Zymomonas mobilis","Zymomonas","Zymomonadaceae","Sphingomonadales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"164","Citrobacter koseri","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"165","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"166","Klebsiella aerogenes","Klebsiella","Klebsiella/Raoultella group","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"167","Pantoea agglomerans","Pantoea","Erwiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"168","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"169","Erwinia amylovora","Erwinia","Erwiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"170","Pantoea ananatis","Pantoea","Erwiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"171","Pectobacterium carotovorum","Pectobacterium","Pectobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"172","Dickeya chrysanthemi","Dickeya","Pectobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"173","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"174","Shimwellia blattae","Shimwellia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"175","Escherichia fergusonii","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"176","Atlantibacter hermannii","Atlantibacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"177","Pseudescherichia vulneris","Pseudescherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"178","Hafnia alvei","Hafnia","Hafniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"179","Klebsiella oxytoca","Klebsiella","Klebsiella/Raoultella group","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"180","Klebsiella pneumoniae","Klebsiella","Klebsiella/Raoultella group","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"181","Raoultella planticola","Raoultella","Klebsiella/Raoultella group","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"182","Raoultella terrigena","Raoultella","Klebsiella/Raoultella group","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"183","Kluyvera cryocrescens","Kluyvera","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"184","Morganella morganii","Morganella","Morganellaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"185","Proteus mirabilis","Proteus","Morganellaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"186","Proteus vulgaris","Proteus","Morganellaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"187","Providencia rettgeri","Providencia","Morganellaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"188","Providencia stuartii","Providencia","Morganellaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"189","Salmonella sp.","unclassified Salmonella","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"190","Serratia liquefaciens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"191","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
