"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Streptococcus sp. FSL R7-0248"	"S"	2975324	77825	12351	NA	123	60	229	14	49	118	53	70	22588	29325	77825	5411	19	24917	6042	5608	17	20	7	213	19	81	82	181	10003	10223	38577	8660	5142	1398	9419	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 431"	"S"	712633	44918	5807	220	19508	9053	35440	11640	6640	24811	25140	8157	1397	2577	3977	1127	1388	3540	1459	10974	12717	16126	11010	4672	9532	12089	19738	18125	19327	12991	44918	18192	12012	1821	5137	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. Marseille-Q3533"	"S"	2759692	71057	2156	993	8864	2099	2203	1014	5519	3367	1704	3776	1156	3060	6519	772	453	7024	2767	3105	3512	3656	2623	11869	4400	71057	19487	7451	6782	3466	5696	23093	39486	912	2487	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 061"	"S"	712623	39862	1884	162	16320	3581	3966	1513	3733	4524	10580	2726	661	1319	3976	656	399	1633	1647	25514	1932	1819	2486	7946	4712	26260	24860	28154	5762	2626	3743	39862	27034	1058	2040	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. A12"	"S"	1759399	103980	1705	55	10469	2440	4649	15858	20116	16774	9009	8046	815	733	11283	1048	165	1077	3653	5150	818	493	1595	13219	502	103984	17277	11287	3028	2600	7924	10087	3661	616	1394	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NPS 308"	"S"	1902136	3594	1542	201	874	1383	469	224	1330	769	1589	293	464	953	347	273	1465	873	606	677	1044	1917	678	426	911	3359	3594	557	2498	1438	2951	1666	963	486	1338	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. HN38"	"S"	3020829	847	815	NA	313	388	168	46	461	135	292	142	370	422	401	73	248	415	264	847	282	320	72	99	97	108	185	128	485	321	733	696	177	100	414	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. Marseille-Q6470"	"S"	2972784	32016	815	243	32016	4599	14735	3416	2718	9363	3243	3605	918	2907	4366	354	591	3177	1842	2569	1295	1619	1245	5368	1532	20246	7284	4412	4905	1378	3501	12591	6175	427	1066	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_522"	"S"	2420310	3687	752	NA	1348	1113	2128	224	2112	727	876	346	1295	883	2034	1526	2181	1073	224	559	1252	1329	2379	943	1644	578	466	483	1609	2346	3687	934	946	631	990	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL W8-0197"	"S"	2975349	3674	667	NA	1389	1468	148	96	1130	371	897	117	447	660	223	222	331	2905	681	487	289	300	203	74	300	396	841	249	2120	1315	3629	1854	1292	794	3674	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. D7B5"	"S"	3038077	2636	434	NA	981	1619	403	195	1285	494	1411	161	321	491	294	183	376	1181	342	2636	717	561	697	298	567	772	902	533	1753	1181	2562	1009	965	475	1971	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 064"	"S"	712624	3601	418	166	559	930	210	185	1935	133	372	206	421	609	346	196	383	2222	978	617	261	343	136	85	402	187	3601	344	1019	692	1541	612	1120	307	2575	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 1643"	"S"	2576376	1783	323	NA	536	367	107	69	744	172	570	68	127	310	117	64	188	463	361	333	641	589	630	161	1783	169	447	296	1210	671	1744	1102	444	310	1216	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A"	"S"	3077723	1245	157	NA	122	95	254	180	468	1245	49	519	105	45	8	11	71	207	485	140	37	52	43	86	35	213	771	369	633	152	820	404	208	142	676	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. S5"	"S"	3098076	2104	136	225	1345	68	2104	293	820	1320	205	693	67	68	373	85	35	149	161	463	84	151	46	343	43	705	603	513	228	85	562	1489	86	84	60	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. LPB0220"	"S"	2610896	2543	119	NA	1811	326	2543	280	894	1406	535	1067	77	228	294	51	56	162	141	397	135	127	175	473	183	578	1302	318	193	174	338	512	85	63	143	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. S1"	"S"	3098075	17837	119	NA	2250	650	4309	1289	1989	2762	4945	1118	882	874	17837	738	158	1073	2280	806	144	97	123	275	372	610	506	3066	169	187	357	464	101	47	180	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. KS 6"	"S"	2598457	125	75	NA	35	35	50	23	108	79	42	56	4	8	24	11	47	32	15	81	28	15	5	9	18	35	61	34	81	18	125	25	29	4	31	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_521"	"S"	2420309	124	41	NA	60	24	56	15	62	78	69	13	36	33	66	30	80	41	14	20	49	54	75	9	58	74	32	77	39	87	124	39	51	8	85	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29896"	"S"	3028082	1133	39	NA	431	505	206	139	663	187	190	56	92	259	1133	166	11	170	12	90	17	12	24	32	320	99	150	1026	343	98	92	145	27	22	315	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 'group B'"	"S"	1319	52	38	NA	14	52	11	4	22	12	46	5	7	4	27	10	39	6	5	17	17	8	5	12	23	5	13	17	14	26	37	5	22	4	42	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. zg-86"	"S"	2664091	757	34	NA	167	757	37	9	40	117	218	7	8	10	19	8	32	23	3	22	74	24	12	45	19	21	18	22	52	31	57	65	29	3	36	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL K6-1323"	"S"	2954513	705	14	NA	705	49	393	98	78	415	177	318	7	11	86	9	1	238	117	380	9	19	16	64	8	NA	15	124	20	10	25	8	3	NA	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_192"	"S"	1839799	971	13	NA	135	14	971	42	97	32	59	119	14	2	147	14	8	44	37	22	17	15	21	101	13	18	19	37	55	45	79	98	19	24	31	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL W7-1342"	"S"	2954545	568	11	NA	71	54	526	62	75	568	71	180	16	2	27	3	1	46	13	37	12	3	NA	68	1	75	10	23	22	19	15	13	5	1	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NSJ-72"	"S"	2763068	80	7	NA	4	NA	NA	NA	17	34	4	NA	17	80	8	5	1	32	26	15	9	1	NA	NA	1	NA	44	10	6	1	19	2	4	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29887"	"S"	3028084	249	2	NA	32	74	7	NA	12	249	19	17	12	6	11	8	29	19	18	6	8	NA	NA	NA	10	1	30	1	12	3	20	5	16	4	53	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29892"	"S"	3028083	54	2	NA	5	NA	NA	NA	5	NA	10	3	9	3	6	NA	5	1	20	3	3	2	NA	35	2	NA	4	NA	23	2	12	54	26	12	30	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus mitis"	"S"	28037	579780	178040	5538	256279	489589	102343	29442	541048	69244	255137	31075	154092	180714	99059	244953	579776	98455	77500	103856	234916	217636	168060	134488	234702	53367	108081	81355	355892	310207	378977	238004	144472	81154	384760	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus mitis B6"	"-"	365659	76783	15071	413	42743	76783	14174	2252	62032	10077	30596	3328	5316	10717	4213	3590	8610	5506	2008	9939	16900	21068	8653	3211	12185	2102	9969	5597	25235	13549	28942	14828	7600	3767	9951	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;mitis"
"Streptococcus mitis NCTC 12261"	"-"	246201	244	69	1	68	51	60	11	210	18	75	23	35	9	51	73	154	45	47	15	90	172	93	16	122	32	95	74	77	91	186	87	82	16	244	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;mitis"
"Streptococcus pneumoniae"	"S"	1313	408370	114345	1380	83347	198565	45841	10841	127008	33908	240373	24259	68504	34476	47881	161317	328311	28465	26150	55014	66287	61144	41229	27368	58382	15602	39073	25087	169050	124428	408369	106862	76102	22922	126445	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pneumoniae Hungary19A-6"	"-"	487214	2813	1441	NA	1244	2537	812	73	1456	824	2244	330	672	614	532	590	684	560	97	968	924	935	724	523	731	173	696	553	1792	1099	2813	961	429	462	693	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae 70585"	"-"	488221	5569	348	NA	61	241	29	NA	90	NA	298	17	15	NA	15	35	70	4	12	38	67	80	32	NA	44	1	47	51	1475	3855	5569	629	712	100	329	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae CGSP14"	"-"	516950	109090	295	3	985	6136	6964	2335	3273	4975	109091	10129	42	37	117	52	161	50	32	196	227	183	151	28	155	79	172	308	137	198	235	105	85	34	247	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae gamPNI0373"	"-"	697283	582	283	1	200	419	444	93	507	103	582	87	158	158	496	185	392	210	152	159	121	90	140	114	250	107	188	147	299	440	523	209	166	80	537	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae PCS8235"	"-"	1159083	734	280	1	338	455	312	130	420	158	358	98	290	116	389	262	471	199	31	121	380	456	626	380	383	131	144	119	330	432	734	213	182	129	259	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae TCH8431/19A"	"-"	525381	1259	252	1	280	663	506	62	647	184	1250	97	230	278	616	315	933	247	164	196	483	507	476	159	609	250	271	234	317	844	1072	311	318	163	1259	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae SPN032672"	"-"	869311	1632	220	NA	106	219	89	23	321	86	411	37	444	527	1632	153	1214	379	406	121	253	139	207	362	482	100	97	103	390	1442	267	326	375	268	1323	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae ST556"	"-"	1130804	643	208	NA	233	349	120	15	545	162	472	63	70	65	16	54	105	43	17	222	67	102	53	NA	182	40	67	79	390	259	643	253	140	49	135	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae Taiwan19F-14"	"-"	487213	220	108	NA	38	94	32	14	86	84	193	45	17	12	60	32	110	37	20	61	47	86	84	65	82	35	54	108	31	40	113	24	36	15	220	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae JJA"	"-"	488222	114	74	NA	67	77	17	NA	65	16	108	3	16	17	13	9	16	12	6	27	27	15	NA	NA	39	NA	25	6	39	31	114	36	23	12	24	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae INV200"	"-"	869216	315	60	NA	169	315	80	NA	219	87	105	65	61	16	58	95	165	45	15	255	18	29	13	NA	35	NA	46	25	211	206	171	85	37	55	46	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae 670-6B"	"-"	189423	147	32	NA	147	128	25	NA	80	17	100	22	1	39	14	2	18	14	5	11	5	8	3	NA	60	18	3	9	39	15	21	29	8	7	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae G54"	"-"	512566	9	3	NA	2	1	NA	NA	1	NA	NA	NA	NA	4	NA	NA	NA	NA	1	NA	NA	6	NA	NA	NA	NA	1	NA	2	1	3	7	3	7	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae INV104"	"-"	869269	8	2	NA	4	7	NA	NA	6	NA	3	1	NA	NA	3	NA	7	8	1	5	4	4	4	NA	3	1	1	2	1	5	4	NA	1	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus cristatus"	"S"	45634	122120	44633	246	6968	18421	9497	8528	54330	15606	6091	3485	2162	2412	2703	898	979	5037	1905	3258	5831	1689	9012	4636	3867	20957	28698	34802	122124	79753	35976	53883	4580	33473	79306	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus cristatus ATCC 51100"	"-"	889201	120970	43819	223	5014	14937	6505	6153	36217	11072	2919	2096	1617	1419	1968	790	760	4129	1596	2463	5093	1236	8143	4052	3240	19378	26087	30509	120972	79152	33711	52900	2703	32988	78197	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;cristatus"
"Streptococcus oralis"	"S"	1303	341200	33091	2060	24216	42755	12228	7646	56079	15005	56598	7869	113312	193126	341202	27908	22657	189860	62721	52058	39409	31086	30782	10723	26975	14003	31555	21968	69717	53572	100366	47009	33615	21724	78743	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oralis subsp. oralis"	"-"	1891914	10414	3142	5	3306	5038	2495	712	8923	2029	10024	972	2694	3694	3799	1811	4686	4105	1721	2761	4802	5388	3772	1889	5536	2029	3609	2235	7037	6355	9479	5094	2837	2085	10414	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;oralis"
"Streptococcus oralis subsp. tigurinus"	"-"	1077464	11362	1097	2	1527	2848	1091	246	3300	759	7883	426	1339	2264	1345	645	1295	11362	1290	5828	1956	1717	2291	630	1761	1073	2292	1900	2336	1964	3132	1628	1183	859	2862	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;oralis"
