"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_TZO.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82_TZO.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_TZO.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82_TZO.cladeReads"	"C004_R.82.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.82_ORC.cladeReads"	"lineage"
"Propionibacterium australiense"	"S"	119981	192	5	6	5	2	2	NA	1	1	NA	8	192	1	1	NA	NA	NA	NA	3	NA	5	56	1	3	33	3	3	2	NA	1	15	28	51	NA	177	2	9	12	1	NA	3	17	1	14	1	11	4	1	22	NA	NA	1	NA	NA	2	NA	1	NA	NA	NA	2	1	NA	1	NA	2	NA	5	2	3	6	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propionibacterium"
"Arachnia propionica"	"S"	1750	17051	81	547	871	75	191	103	297	59	177	3287	1989	466	38	9	3	16	48	9	70	6	150	22	5	136	49	4	17	6	318	651	234	2142	2	8149	25	33	117	9	16	12	431	1055	319	150	1049	96	201	252	441	719	655	230	415	3978	717	470	1033	407	248	1744	350	698	4346	141	411	462	2062	1868	4099	5623	17051	3955	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Arachnia"
"Arachnia rubra"	"S"	1547448	9499	8	40	14	4	1	1	6	1	164	4525	2668	732	122	22	NA	21	127	NA	198	1	23	26	14	76	132	29	8	13	7	49	10	169	NA	60	NA	1	2	NA	NA	NA	9	25	5	5	15	1	6	4	2086	2374	3075	822	797	9499	827	1238	521	1592	245	2981	584	715	6402	104	15	6	14	20	33	43	168	17	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Arachnia"
"Tessaracoccus timonensis"	"S"	2161816	19270	16	18	5	1	3	11	2	2	4	16	19270	NA	NA	NA	NA	3	NA	2	NA	1	163	6	16	96	7	7	5	NA	3	11	1617	2173	NA	341	NA	23	18	NA	3	6	5	1	1	1	NA	2	1	NA	2	NA	NA	NA	1	2	NA	NA	1	NA	NA	2	NA	NA	1	NA	1	NA	1	NA	NA	2	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Tessaracoccus aquimaris"	"S"	1332264	275	7	1	8	3	1	NA	1	NA	1	1	275	NA	NA	NA	1	NA	NA	1	NA	2	17	NA	9	6	NA	NA	1	1	1	2	5	5	2	20	NA	NA	3	NA	2	NA	5	1	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Tessaracoccus sp. T21"	"S"	3041766	216	3	2	3	1	3	NA	2	NA	1	2	216	NA	NA	2	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	2	NA	1	6	9	24	NA	77	NA	2	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus>unclassified&nbsp;Tessaracoccus"
"Tessaracoccus sp. MC1865"	"S"	2760310	75	2	2	3	NA	NA	2	1	NA	1	3	5	NA	NA	NA	NA	NA	NA	1	1	NA	75	2	1	51	1	1	4	1	NA	NA	6	10	NA	10	1	1	NA	1	2	4	3	NA	NA	NA	NA	2	NA	6	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus>unclassified&nbsp;Tessaracoccus"
"Tessaracoccus flavescens"	"S"	399497	292	4	2	14	1	2	1	12	NA	1	12	292	NA	NA	NA	NA	NA	2	NA	NA	NA	8	1	9	6	NA	NA	1	NA	1	6	95	40	NA	129	2	12	5	NA	66	1	3	2	NA	1	2	NA	NA	1	1	1	NA	NA	NA	NA	1	NA	NA	1	NA	5	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Tessaracoccus defluvii"	"S"	1285901	219	2	1	4	NA	2	1	8	NA	NA	1	219	NA	NA	NA	3	NA	NA	3	NA	1	NA	NA	1	NA	NA	NA	2	NA	NA	6	6	6	3	35	1	3	6	6	NA	4	1	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	2	1	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Tessaracoccus flavus"	"S"	1610493	1072	1	2	1	NA	4	NA	2	NA	NA	3	1072	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	NA	4	NA	2	8	8	NA	25	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	NA	2	NA	NA	2	NA	NA	94	NA	NA	1	2	NA	5	1	1	NA	NA	NA	4	NA	2	NA	NA	5	4	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Tessaracoccus"
"Propioniciclava coleopterorum"	"S"	2714937	378	14	6	14	5	6	5	8	8	2	6	378	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	4	1	NA	NA	NA	NA	8	49	43	89	2	343	NA	9	21	1	10	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propioniciclava"
"Propioniciclava sp. MC1595"	"S"	2760308	286	3	2	1	4	1	2	3	NA	1	7	286	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	5	NA	3	8	NA	15	NA	1	2	NA	8	NA	6	NA	4	NA	4	NA	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propioniciclava>unclassified&nbsp;Propioniciclava"
"Brooklawnia propionicigenes"	"S"	3041175	642	19	9	33	14	12	3	18	1	NA	4	332	1	2	NA	2	NA	NA	2	NA	1	13	NA	NA	4	9	NA	1	NA	7	61	91	172	NA	642	1	18	25	NA	7	NA	5	1	NA	3	2	NA	1	2	NA	1	1	NA	NA	2	3	1	NA	NA	NA	3	NA	NA	1	NA	NA	NA	1	2	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Brooklawnia"
"Microlunatus soli"	"S"	630515	60	4	4	4	1	7	1	1	NA	NA	3	6	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	2	1	3	1	2	NA	NA	1	NA	3	3	60	NA	1	2	2	4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Microlunatus"
"Microlunatus sp. Gsoil 973"	"S"	2672569	118	4	6	2	1	7	1	3	2	NA	NA	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	1	2	17	NA	NA	1	NA	NA	NA	1	5	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Microlunatus>unclassified&nbsp;Microlunatus"
"Microlunatus elymi"	"S"	2596828	54	2	NA	8	1	NA	1	NA	NA	NA	1	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	1	8	27	1	NA	3	NA	NA	1	5	NA	NA	14	NA	NA	1	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Microlunatus"
"Microlunatus sagamiharensis"	"S"	546874	186	1	11	33	2	6	4	37	2	2	24	51	NA	NA	NA	NA	1	NA	NA	7	NA	1	NA	71	52	6	1	13	NA	1	6	51	34	NA	186	NA	3	28	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Microlunatus"
"Vaginimicrobium propionicum"	"S"	1871034	252	9	12	8	5	5	5	5	3	1	24	7	NA	27	NA	4	NA	NA	7	NA	4	33	2	68	42	3	2	1	1	5	6	30	74	1	252	2	3	8	2	2	6	42	NA	1	NA	NA	NA	4	1	NA	1	3	NA	NA	NA	NA	2	6	1	NA	2	2	NA	NA	NA	NA	NA	1	2	3	1	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Vaginimicrobium"
"Raineyella sp. LH-20"	"S"	3081204	896	3	NA	NA	1	1	NA	NA	NA	NA	NA	896	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	3	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Raineyella>unclassified&nbsp;Raineyella"
"Auraticoccus monumenti"	"S"	675864	275	1	6	5	4	5	3	2	1	3	3	275	NA	NA	NA	1	NA	NA	3	1	3	7	6	2	9	2	3	7	NA	NA	4	14	6	1	29	1	2	6	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Auraticoccus"
"Nocardioides sp. NBC_00368"	"S"	2976000	433	5	NA	13	2	1	1	6	NA	1	1	433	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	1	NA	NA	9	42	60	41	NA	122	NA	30	22	NA	1	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	1	NA	NA	4	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. JQ2195"	"S"	2592334	386	3	1	6	2	1	NA	2	NA	NA	NA	386	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	2	NA	NA	2	1	6	NA	23	NA	NA	3	1	NA	1	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. CF8"	"S"	110319	1003	2	2	5	2	3	2	7	NA	NA	1	1003	NA	NA	NA	NA	1	NA	NA	NA	NA	32	1	13	17	3	2	1	NA	NA	NA	11	4	NA	46	NA	1	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. S5"	"S"	2017486	1007	2	3	20	11	18	3	12	1	5	20	1007	1	1	5	1	8	2	NA	NA	1	2	NA	39	5	11	1	3	2	3	14	23	55	1	542	1	10	23	NA	NA	3	1	NA	NA	NA	1	2	1	1	NA	2	NA	NA	6	1	NA	NA	1	NA	5	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
