id.exposure,Tissue,outcome,exposure,method,nsnp,b,se,pval,level
s__unclassified_mgs_1271,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,5,0.027293187,0.012685453,0.03143405,species
s__Haemophilus_D_parainfluenzae_mgs_3396,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,9,0.018512657,0.008618369,0.031710065,species
s__unclassified_mgs_1107,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,11,0.018721984,0.008725347,0.031896859,species
s__unclassified_mgs_225,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,6,0.033918091,0.015929489,0.033232402,species
s__unclassified_mgs_1253,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,11,0.01863709,0.008768025,0.033538712,species
s__unclassified_mgs_2430,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,7,-0.021133008,0.009966323,0.0339688,species
s__unclassified_mgs_1515,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,9,0.021683917,0.010292985,0.035146243,species
s__unclassified_mgs_3008,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,7,-0.030022561,0.014419517,0.03733534,species
s__unclassified_mgs_2638,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,8,-0.023134589,0.011112509,0.037356075,species
s__unclassified_mgs_3295,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,11,-0.02138325,0.010331821,0.038485157,species
s__unclassified_mgs_1074,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,13,0.016140286,0.007838136,0.039475128,species
s__unclassified_mgs_2048,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,5,-0.021934266,0.010676945,0.039941064,species
s__unclassified_mgs_2715,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,7,0.023458306,0.011456734,0.040603512,species
s__unclassified_mgs_2628,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,17,-0.015620304,0.007643781,0.040999889,species
s__unclassified_mgs_3248,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,10,0.020979725,0.010270117,0.041072921,species
s__unclassified_mgs_1648,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,7,0.028405214,0.013950704,0.041738975,species
s__unclassified_mgs_309,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,14,-0.017446593,0.008661053,0.043970361,species
s__unclassified_mgs_2494,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,7,0.023246425,0.011576388,0.044633755,species
s__unclassified_mgs_1912,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,8,0.021684399,0.010798657,0.044636436,species
s__unclassified_mgs_2577,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,8,-0.021832943,0.010929931,0.045766876,species
s__Lancefieldella_sp000564995_mgs_3070,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,9,0.018379912,0.009231861,0.04648949,species
s__unclassified_mgs_958,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,9,0.022892935,0.011516232,0.046824517,species
s__Haemophilus_A_sputorum_mgs_975,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,9,-0.019659399,0.009913879,0.047365437,species
s__unclassified_mgs_2727,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,5,0.023675538,0.011968477,0.047910894,species
s__unclassified_mgs_2087,Oral,EBI-a-GCST006697,exposure,Inverse variance weighted,9,0.019638457,0.009989693,0.049313413,species
g__Clostridiuminnocuumgroup.id.14397,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,9,0.014839813,0.007369222,0.044035203,genus
g__Enterorhabdus.id.820.summary,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,5,0.02780312,0.013323059,0.036902415,genus
g__Eubacteriumrectalegroup.id.14374,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,9,0.045952271,0.014621303,0.001673229,genus
g__Holdemania.id.2157.summary,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,15,-0.017748362,0.008800099,0.043712571,genus
f__Acidaminococcaceae.id.2166,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,6,-0.039850599,0.019402431,0.03998564,family
f__Methanobacteriaceae.id.121,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,9,-0.014379367,0.006607892,0.029548554,family
f__Victivallaceae.id.2255,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,12,-0.011944848,0.005772601,0.038524363,family
o__Methanobacteriales.id.120,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,9,-0.014379367,0.006607892,0.029548554,order
c__Methanobacteria.id.119,B1D7Gz,EBI-a-GCST006697,exposure,Inverse variance weighted,9,-0.014379367,0.006607892,0.029548554,class
